DATA,DIA,FASE,STATUS,WARMUP,CORRIDA (SÉRIE LÍQUIDA),COOLDOWN,INTERVALOS,ACADEMIA,BIKE
2026-05-23,Sáb,Fase 1: Base,TRANSITION,,"5km @ 07:20 (8,2 km/h)",,,Ficha C (Posterior + Core),
2026-05-24,Dom,Fase 1: Base,DONE,,14km @ 06:46 (1h34 - Concluido!),,,,
2026-05-25,Seg,Fase 1: Base,LOCKED,,OFF,,,,
2026-05-26,Ter,Fase 1: Base,QUALITY,2.0 km @ 6.5 km/h,"5x800m @ 10,3 km/h (Feito!)",1.0 km @ 4.5 km/h,"1'15"" Passivo",Ficha B (Anterior + Core),
2026-05-27,Qua,Fase 1: Base,EASY,,"8km @07:10 (8,4 km/h)",,,Ficha A (Inferiores),
2026-05-28,Qui,Fase 1: Base,RECOVERY,,OFF,,,,50min Giro Livre indolor
2026-05-29,Sex,Fase 1: Base,LOCKED,,OFF,,,,
2026-05-30,Sáb,Fase 1: Base,TRANSITION,,"6km @ 07:20 (8,2 km/h)",,,Ficha C (Posterior + Core),
2026-05-31,Dom,Fase 1: Base,ENDURANCE,,"15km @ 06:50 (8,8 km/h / Rua)",,,,
2026-06-01,Seg,Fase 1: Base,LOCKED,,OFF,,,,
2026-06-02,Ter,Fase 1: Base,QUALITY,"2.0 km @ 6,5 km/h","8x400m @ 10,6 km/h","1.5 km @ 4,5 km/h","1'00"" Passivo",Ficha B (Anterior + Core),
2026-06-03,Qua,Fase 1: Base,EASY,,"8km @ 07:05 (8,5 km/h)",,,Ficha A (Inferiores),
2026-06-04,Qui,Fase 1: Base,RECOVERY,,"8km @ 07:50 (7,5 km/h)",,,,
2026-06-05,Sex,Fase 1: Base,LOCKED,,OFF,,,,
2026-06-06,Sáb,Fase 1: Base,TRANSITION,,"6km @ 07:20 (8,2 km/h)",,,Ficha C (Posterior + Core),
2026-06-07,Dom,Fase 1: Base,ENDURANCE,,"16km @ 06:50 06:30 (9,2 km/h)",,,,
2026-06-08,Seg,Fase 1: Base,LOCKED,,OFF,,,,
2026-06-09,Ter,Fase 1: Base,QUALITY,2.0 km @ 6.5 km/h,"4x1km @ 10,1 km/h (Pace 05:55)",1.5 km @ 4.5 km/h,"2'00"" Ativo @ 3,0 km/h",Ficha B (Anterior + Core),
2026-06-10,Qua,Fase 1: Base,EASY,,"8km @ 07:05 (8,5 km/h)",,,Ficha A (Inferiores),
2026-06-11,Qui,Fase 1: Base,RECOVERY,,"8km @ 07:50 (7,5 km/h)",,,,55min Giro Livre indolor
2026-06-12,Sex,Fase 1: Base,LOCKED,,OFF,,,,
2026-06-13,Sáb,Fase 1: Base,TRANSITION,,"5km @ 07:20 (8,2 km/h)",,,Ficha C (Posterior + Core),
2026-06-14,Dom,Fase 1: Base,RECOVERY,,"12km @ 07:15 (8,3 km/h)",,,,
2026-06-15,Seg,Fase 2: Desenv.,LOCKED,,OFF,,,,
2026-06-16,Ter,Fase 2: Desenv.,QUALITY,"2.0 km @ 6,5 km/h","6x400m @ 10,6 km/h","1.5 km @ 4,5 km/h","1'00"" Passivo",Ficha B (Anterior + Core),
2026-06-17,Qua,Fase 2: Desenv.,EASY,,"8km @ 08:20 (8,3 km/h)",,,Ficha A (Inferiores),
2026-06-18,Qui,Fase 2: Desenv.,RECOVERY,,"8km @ 08:00 (7,5 km/h)",,,,60min Giro Livre indolor
2026-06-19,Sex,Fase 2: Desenv.,LOCKED,,OFF,,,,
2026-06-20,Sáb,Fase 2: Fim,TRANSITION,,"6km @ 07:20 (8,2 km/h)",,,Ficha C (Posterior + Core),
2026-06-21,Dom,Fase 3: Ápice,ENDURANCE,,"18km @ 06:45 (8,9 km/h)",,,,
2026-06-22,Seg,Fase 3: Ápice,LOCKED,,OFF,,,,
2026-06-23,Ter,Fase 3: Ápice,QUALITY,"2.0 km @ 6,5 km/h","5x1km @ 10,3 km/h (Pace 05:50)","1.5 km @ 4,5 km/h","2'00"" Ativo @ 3,0 km/h",Ficha B (Anterior + Core),
2026-06-24,Qua,Fase 3: Ápice,EASY,,"8km @ 07:00 (8,6 km/h)",,,Ficha A (Inferiores),
2026-06-25,Qui,Fase 3: Ápice,RECOVERY,,"8km @ 07:50 (7,5 km/h)",,,,60min Giro Livre indolor
2026-06-26,Sex,Fase 3: Ápice,LOCKED,,OFF,,,,
