date,day,name,warmup,cooldown,restDetails,description
2026-05-23,Sáb,Corrida Leve + Musculação C,null,null,null,"5km @ 07:20 (8,2 km/h). Ficha C (Posterior + Core)."
2026-05-24,Dom,Longão Realizado!,null,null,null,14km @ 06:46 (1h34 - Concluído com Sucesso!).
2026-05-25,Seg,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-05-26,Ter,Tiros Longos Concluídos!,"2.0 km @ 6,5 km/h","1.0 km @ 4,5 km/h","1'15"" Passivo (Pé de lado)","5x800m @ 10,3 km/h (Feito!). Ficha B (Anterior + Core)."
2026-05-27,Qua,DESCANSO COMPENSATÓRIO,null,null,null,OFF - Escuta ao corpo (Fadiga acumulada).
2026-05-28,Qui,Corrida Leve + Musculação A [Ajustado],null,null,null,"8km @ 07:10 (8,4 km/h) [Entrada Direta]. Ficha A (Membros Inferiores)."
2026-05-29,Sex,DESCANSO ABSOLUTO,null,null,null,OFF - Janela de recuperação pré-final de semana.
2026-05-30,Sáb,Corrida Leve + Musculação C,null,null,null,"6km @ 07:20 (8,2 km/h) [Entrada Direta]. Ficha C (Posterior + Core)."
2026-05-31,Dom,Longão Consolidação,null,null,null,"15km @ 06:50 (8,8 km/h ou Rua)."
2026-06-01,Seg,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-06-02,Ter,Tiros Curtos + Musculação B,"2.0 km @ 6,5 km/h","1.5 km @ 4,5 km/h","1'00"" Passivo (Pé de lado)","8x400m @ 05:40 (10,6 km/h). Ficha B (Anterior + Core)."
2026-06-03,Qua,Corrida Leve + Musculação A,null,null,null,"8km @ 07:05 (8,5 km/h) [Entrada Direta]. Ficha A (Membros Inferiores)."
2026-06-04,Qui,Corrida Regen + Bike,null,null,null,"8km @ 08:00 (7,5 km/h) [Entrada Direta]. 50min Giro Livre indolor."
2026-06-05,Sex,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-06-06,Sáb,Corrida Leve + Musculação C,null,null,null,"6km @ 07:20 (8,2 km/h) [Entrada Direta]. Ficha C (Posterior + Core)."
2026-06-07,Dom,Longão Progressivo,null,null,null,"16km @ 06:50 &rarr; final 06:30 (9,2 km/h)."
2026-06-08,Seg,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-06-09,Ter,Série Limiar + Musculação B,"2.0 km @ 6,5 km/h","1.5 km @ 4,5 km/h","2'00"" Ativo (Esteira a 3.0 km/h)","4x1km @ 05:55 (10,1 km/h). Ficha B (Anterior + Core)."
2026-06-10,Qua,Corrida Leve + Musculação A,null,null,null,"8km @ 07:05 (8,5 km/h) [Entrada Direta]. Ficha A (Membros Inferiores)."
2026-06-11,Qui,Corrida Regen + Bike,null,null,null,"8km @ 08:00 (7,5 km/h) [Entrada Direta]. 55min Giro Livre indolor."
2026-06-12,Sex,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-06-13,Sáb,Corrida Leve + Musculação C,null,null,null,"5km @ 07:20 (8,2 km/h) [Entrada Direta]. Ficha C (Posterior + Core)."
2026-06-14,Dom,Longão Regenerativo,null,null,null,"12km @ 07:15 (8,3 km/h)."
2026-06-15,Seg,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-06-16,Ter,Volume Tiros + Musculação B,"2.0 km @ 6,5 km/h","1.5 km @ 4,5 km/h","1'00"" Passivo (Pé de lado)","10x400m @ 05:40 (10,6 km/h). Ficha B (Anterior + Core)."
2026-06-17,Qua,Corrida Leve + Musculação A,null,null,null,"8km @ 07:05 (8,5 km/h) [Entrada Direta]. Ficha A (Membros Inferiores)."
2026-06-18,Qui,Corrida Regen + Bike,null,null,null,"8km @ 08:00 (7,5 km/h) [Entrada Direta]. 60min Giro Livre indolor."
2026-06-19,Sex,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-06-20,Sáb,Corrida Leve + Musculação C,null,null,null,"6km @ 07:20 (8,2 km/h) [Entrada Direta]. Ficha C (Posterior + Core)."
2026-06-21,Dom,Longão Volume Especial,null,null,null,"18km @ 06:45 (8,9 km/h)."
2026-06-22,Seg,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-06-23,Ter,Limiar II + Musculação B,"2.0 km @ 6,5 km/h","1.5 km @ 4,5 km/h","2'00"" Ativo (Esteira a 3.0 km/h)","5x1km @ 05:50 (10,3 km/h). Ficha B (Anterior + Core)."
2026-06-24,Qua,Corrida Leve + Musculação A,null,null,null,"8km @ 07:00 (8,6 km/h) [Entrada Direta]. Ficha A (Membros Inferiores)."
2026-06-25,Qui,Corrida Regen + Bike,null,null,null,"8km @ 08:00 (7,5 km/h) [Entrada Direta]. 60min Giro Livre indolor."
2026-06-26,Sex,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-06-27,Sáb,Corrida Leve + Musculação C,null,null,null,"5km @ 07:20 (8,2 km/h) [Entrada Direta]. Ficha C (Posterior + Core)."
2026-06-28,Dom,Longão Ápice,null,null,null,"20km @ 06:45 &rarr; final 06:30 (9,2 km/h)."
2026-06-29,Seg,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-06-30,Ter,Tiros de Ajuste + Musculação B,"2.0 km @ 6,5 km/h","1.5 km @ 4,5 km/h","1'00"" Passivo (Pé de lado)","8x400m @ 05:45 (10,4 km/h). Ficha B (Anterior + Core)."
2026-07-01,Qua,Corrida Leve + Musculação A,null,null,null,"8km @ 07:05 (8,5 km/h) [Entrada Direta]. Ficha A (Membros Inferiores)."
