Data,Dia,Atividade,AQ,Principal,DQ,Repouso,Musc,Bike
23/05/2026,Sáb,Corrida Leve + Musculação C,-,"5km @ 07:20 (8,2 km/h)",-,-,C,-
24/05/2026,Dom,Longão (Base),-,"14km @ 07:00 (8,6 km/h ou Rua)",-,-,-,-
25/05/2026,Seg,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
26/05/2026,Ter,Tiros Longos + Musculação B,"2km @ 6,5 km/h","5x800m @ 05:50 (10,3 km/h)","1km @ 4,5 km/h",Passivo (Pé ao lado),B,-
27/05/2026,Qua,Corrida Leve + Musculação A,"1km @ 6,5 km/h","10km @ 07:10 (8,4 km/h)","1km @ 4,5 km/h",-,A,-
28/05/2026,Qui,Corrida Regen + Bike,-,"8km @ 08:00 (7,5 km/h)",-,-,-,50min Giro Livre
29/05/2026,Sex,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
30/05/2026,Sáb,Corrida Leve + Musculação C,"1km @ 6,5 km/h","6km @ 07:20 (8,2 km/h)","1km @ 4,5 km/h",-,C,-
31/05/2026,Dom,Longão Consolidação,-,"15km @ 06:50 (8,8 km/h ou Rua)",-,-,-,-
01/06/2026,Seg,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
02/06/2026,Ter,Tiros Curtos + Musculação B,"2km @ 6,5 km/h","8x400m @ 05:40 (10,6 km/h)","1,5km @ 4,5 km/h",Passivo (Pé ao lado),B,-
03/06/2026,Qua,Corrida Leve + Musculação A,"1km @ 6,5 km/h","11km @ 07:05 (8,5 km/h)","1km @ 4,5 km/h",-,A,-
04/06/2026,Qui,Corrida Regen + Bike,-,"8km @ 08:00 (7,5 km/h)",-,-,-,50min Giro Livre
05/06/2026,Sex,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
06/06/2026,Sáb,Corrida Leve + Musculação C,"1km @ 6,5 km/h","6km @ 07:20 (8,2 km/h)","1km @ 4,5 km/h",-,C,-
07/06/2026,Dom,Longão Progressivo,-,"16km @ 06:50 &rarr; final 06:30 (9,2 km/h)",-,-,-,-
08/06/2026,Seg,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
09/06/2026,Ter,Série Limiar + Musculação B,"2km @ 6,5 km/h","4x1km @ 05:55 (10,1 km/h)","1,5km @ 4,5 km/h","Ativo (Esteira a 3,0 km/h)",B,-
